dlga_event_triggered:center_captured_rebellion|{s1}目 前 还 无 人 治 理 。 我 应 该 把 这 权 力 交 给 谁 呢 ？ 
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}。 {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|拜 托 了 ， {s65}， 我 想 把 {s1}留 给 自 己 。 （ 封 地 ： {s0}） 
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}， 你 可 以 保 留 {s1}。 （ 封 地 :{s0}） 
dlga_center_captured_rebellion_2:close_window|嗯 。 好 吧 ， {playername}。 我 很 看 重 你 的 意 见 。 {reg6?我 :{reg7?你 :{s11}}}将 会 是 {s1}的 新 {reg3?主 人 :主 人 }。 
dlga_start:fighter_talk.1|你 想 练 习 什 么 ？ 
dlga_fighter_pretalk:fighter_talk|告 诉 我 你 想 要 进 行 哪 种 练 习 。 
dlga_fighter_talk:fighter_talk_train_attack|我 想 练 习 攻 击 。 
dlga_fighter_talk:fighter_talk_train_parry|我 想 练 习 用 武 器 格 挡 。 
dlga_fighter_talk_train_attack_2:fighter_pretalk|实 际 上 ， 我 想 要 干 点 儿 别 的 。 
dlga_fighter_talk_train_parry_3:fighter_pretalk|实 际 上 ， 我 想 要 干 点 儿 别 的 。 
dlga_fighter_talk_train_combat_2:fighter_pretalk|实 际 上 ， 我 想 要 干 点 儿 别 的 。 
dlga_start:fighter_parry_try_again|很 好 。 你 已 经 能 够 成 功 的 格 挡 住 我 的 进 攻 了 。 你 可 以 重 复 这 个 练 习 并 且 试 着 让 以 后 每 次 的 动 作 都 能 更 加 迅 速 一 点 ， 直 到 你 对 自 己 的 防 守 技 术 充 满 自 信 为 止 。 你 要 再 来 一 次 吗 ？ 
dlga_fighter_parry_try_again:fighter_talk_leave_parry|算 了 ， 暂 时 就 到 这 儿 吧 。 
dlga_start:fighter_parry_warn|嘿 ！ 伙 计 ， 我 们 做 的 是 格 挡 练 习 ！ 你 应 该 格 挡 ， 而 不 是 回 击 。 
dlga_fighter_parry_warn:fighter_talk_leave_parry|抱 歉 ， 我 得 马 上 结 束 这 项 练 习 。 
dlga_fighter_talk_leave_parry:close_window|好 吧 ， 如 你 所 愿 。 
dlga_fighter_combat_try_again:fighter_talk_leave_combat|不 必 了 ， 对 我 来 说 已 经 够 了 。 
dlga_fighter_talk_leave_combat:close_window|嗯 ， 好 吧 。 如 果 你 改 变 了 主 意 ， 再 来 跟 我 谈 谈 。 
dlga_start:fighter_talk.2|很 好 。 你 已 经 学 会 怎 样 自 如 地 从 任 何 方 向 进 攻 了 。 如 果 你 愿 意 我 们 可 以 再 试 一 次 ， 或 者 去 进 行 另 一 个 难 一 点 的 训 练 。 
dlga_start:ranged_end|好 ， 你 已 经 掌 握 了 使 用 三 种 远 程 武 器 的 基 本 技 能 ， 剩 下 的 就 是 练 习 了 ， 日 复 一 日 地 练 习 ， 总 有 一 天 你 会 跟 卡 拉 迪 亚 最 棒 的 神 射 手 一 样 厉 害 。 
dlga_archer_talk:archer_challenge|好 的 ， 教 我 怎 么 使 用 远 程 武 器 吧 。 
dlga_archer_talk:close_window|不 ， 现 在 不 用 。 
dlga_archer_challenge_2:close_window|好 的 。 我 准 备 好 了 。 
dlga_archer_challenge_2:close_window.1|等 一 下 。 我 要 先 去 做 点 别 的 事 情 。 
dlga_start:horseman_melee_challenge_2|我 希 望 你 享 受 这 骑 马 的 感 觉 。 现 在 我 们 来 进 行 些 有 难 度 的 。 去 那 儿 拿 起 你 看 到 的 骑 枪 ， 然 后 骑 马 在 跑 道 上 跑 动 并 且 至 少 击 中 每 个 目 标 一 次 。 
dlga_start:horsemanship_end|很 好 。 你 已 经 能 在 马 背 上 射 中 所 有 的 目 标 了 。 坚 持 每 天 骑 马 练 习 ， 有 一 天 你 会 成 为 一 名 专 业 骑 手 。 
dlga_horseman_talk:horseman_challenge|是 ， 我 打 算 练 习 骑 术 。 
dlga_horseman_talk:close_window|嗯 。 以 后 再 说 吧 。 
dlga_horseman_melee_challenge_2:close_window|好 的 。 我 准 备 好 了 。 
dlga_horseman_melee_challenge_2:close_window.1|等 一 下 。 我 要 先 去 做 点 别 的 事 情 。 
dlga_tutorial_troop_default:close_window|嘿 ， 我 正 在 这 里 练 习 呢 。 如 果 你 想 得 到 关 于 远 程 武 器 的 指 导 ， 去 跟 箭 术 教 练 谈 谈 吧 。 
dlga_start:lord_prison_break_confirm_3|计 划 有 变 动 吗 ？ 
dlga_start:drunk_response|你 在 看 什 么 ？ 
dlga_start:drunk_response.1|你 在 看 我 ？ 
dlga_player_duel_response:close_window|这 个 人 渣 … … 
dlga_player_duel_response:close_window.1|他 死 了 总 比 我 挂 了 强 。 
dlga_drunk_response:drunk_fight_start.1|对 不 起 ， 请 接 受 我 的 道 歉 。 
dlga_drunk_response:drunk_player_high_renown|你 知 道 我 是 谁 吗 ？ 
dlga_drunk_player_high_renown:drunk_fight_start|我 才 不 在 乎 呢 ！ 
dlga_drunk_player_high_renown:close_window|我 也 是 这 么 想 的 ， 快 滚 吧 。 
dlga_fistfight_response_5a:fistfight_response_confirm|好 了 ， 你 怎 么 想 ？ 
dlga_fistfight_response_confirm:close_window.1|我 有 更 好 的 事 情 要 做 
dlga_ramun_introduce_1:ramun_introduce_2|不 好 意 思 ， 你 看 上 去 像 一 个 商 人 ， 可 你 怎 么 没 有 货 物 呢 ？ 
dlga_ramun_introduce_1:close_window|没 事 。 
dlga_ramun_introduce_3:ramun_introduce_4|牲 口 ？ 
dlga_ramun_introduce_5:ramun_introduce_6|船 上 奴 隶 。 
dlga_ramun_introduce_7:ramun_introduce_8|这 些 奴 隶 是 从 哪 里 来 ？ 
dlga_ramun_introduce_9:ramun_introduce_10|我 这 儿 ？ 
dlga_start:ramun_talk|你 好 ， {playername}。 
dlga_ramun_pre_talk:ramun_talk|还 有 什 么 事 吗 ？ 
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|让 我 看 一 下 你 带 来 的 “ 货 物 ” 吧 … … 
dlga_ramun_sell_prisoners_2:close_window|和 你 做 生 意 真 是 爽 快 。 
dlga_ramun_talk:ramun_ask_about_capturing|我 怎 么 活 捉 俘 虏 呢 ？ 
dlga_ramun_talk:ramun_ask_about_capturing.1|你 能 再 告 诉 我 一 遍 活 捉 俘 虏 的 事 吗 ？ 
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|当 然 。 
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|谢 谢 ， 拉 蒙 。 没 准 我 会 试 着 用 用 看 的 。 
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|好 的 ， 我 想 我 明 白 了 ， 还 有 其 他 事 吗 ？ 
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|就 这 些 ？ 
dlga_start:close_window.3|我 谦 卑 的 恳 请 大 人 你 能 把 手 放 在 我 看 得 到 的 位 置 上 。 
dlga_start:manhunter_talk_b|嘿 ！ 你 有 没 有 在 附 近 看 到 什 么 不 法 之 徒 ？ 
dlga_manhunter_talk_b:manhunter_talk_b1|是 的 ， 他 们 大 约 一 小 时 前 朝 那 个 方 向 走 了 。 
dlga_manhunter_talk_b1:close_window|我 知 道 了 ！ 伙 计 们 ， 我 们 该 出 发 了 ， 去 干 掉 那 些 兔 崽 子 。 十 分 感 谢 ， 朋 友 。 
dlga_looters_1:looters_2|{s4}
dlga_village_farmer_talk:farmer_bandit_information|我 正 追 捕 一 群 有 以 下 特 征 的 山 贼 … … 你 看 到 过 他 们 吗 ？ 
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window.1|那 就 继 续 吧 ， 再 见 。 
dlga_start:member_castellan_talk|怎 么 了 ， {playername}我 能 为 你 做 什 么 吗 ？ 
dlga_member_castellan_pretalk:member_castellan_talk|还 有 什 么 事 吗 ？ 
dlga_member_castellan_talk:member_review_castle_garrison|我 想 看 看 城 堡 的 驻 军 。 
dlga_member_review_castle_garrison:member_castellan_pretalk|没 问 题 。 这 是 人 员 的 清 单 ， 如 果 你 打 算 做 些 变 动 的 话 ， 请 告 诉 我 。 
dlga_member_castellan_talk:member_review_castellan_equipment|让 我 看 看 你 的 装 备 。 
dlga_member_castellan_talk:member_castellan_join|我 想 要 你 放 弃 城 堡 ， 然 后 加 入 我 的 队 伍 。 
dlga_member_chat:kidnapped_girl_chat_1|我 们 到 家 了 吗 ？ 
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|还 没 有 。 
